Tokens for Kommisar - Springtime
Timestamp: 20260126201528
Shape: torch.Size([9679, 32])
----------------------------------------
Frame | Codebooks (0-31)
24    | 822  995  365  23   264  865  472  694  218  472  677  451  397  734  368  379  317  391  1023 873  1022 504  877  813  1014 768  519  556  694  707  633  837 
25    | 41   520  587  653  770  558  947  293  461  770  49   510  508  725  996  985  746  272  563  814  228  419  561  876  454  987  898  937  769  295  992  684 
26    | 569  434  143  560  681  367  765  661  848  176  554  738  668  1018 187  1018 507  85   984  1010 831  466  943  865  628  838  755  776  852  459  721  941 
27    | 41   1014 144  547  895  994  281  479  410  912  713  296  811  247  435  704  75   261  1006 393  1014 533  658  619  540  545  739  791  313  563  1018 649 
28    | 759  1014 484  190  670  724  140  479  330  990  710  816  741  652  470  405  106  726  33   631  754  984  565  814  1021 907  595  541  395  822  484  722 
29    | 41   872  857  643  921  290  159  615  435  548  958  334  929  402  918  619  685  78   427  998  874  917  787  394  727  675  739  880  605  988  893  960 
30    | 985  1014 519  360  11   395  241  901  81   611  952  355  267  646  384  686  950  132  462  256  895  510  893  562  938  954  739  872  919  231  542  931 
31    | 42   651  253  502  553  39   198  145  451  618  557  360  914  602  872  653  888  520  599  644  878  466  693  993  433  601  244  380  727  864  456  1016
32    | 569  1009 377  415  63   349  957  728  576  997  961  527  408  769  683  263  950  244  464  278  570  272  937  157  918  681  461  688  248  717  237  655 
33    | 705  781  723  860  571  610  2    478  861  845  897  939  447  735  258  614  781  30   249  989  903  522  356  540  783  550  739  729  911  896  306  1010
34    | 507  70   718  992  836  298  2    863  511  806  885  644  624  396  721  971  110  856  251  727  993  411  473  841  853  445  739  322  919  293  450  760 
35    | 60   556  948  708  693  33   349  119  580  841  511  968  388  122  196  844  643  475  910  876  680  530  700  814  805  581  739  926  618  950  879  392 
36    | 384  78   919  28   451  190  602  426  134  786  668  357  902  758  580  255  364  455  23   380  637  396  382  821  830  797  739  550  496  413  583  955 
37    | 290  608  514  118  664  941  592  448  218  914  784  643  570  832  967  489  21   642  334  985  513  928  385  937  663  503  269  986  763  707  773  841 
38    | 365  713  73   736  345  744  208  798  786  396  500  186  752  358  563  779  328  832  586  1015 933  440  482  841  492  1006 566  309  1006 275  364  664 
39    | 364  860  352  118  428  63   179  375  689  353  588  284  957  832  162  572  451  839  898  220  423  441  850  877  264  831  669  755  617  707  957  878 
40    | 29   831  623  177  369  953  987  221  140  460  263  212  328  644  392  836  401  114  788  972  1003 522  682  457  597  637  588  625  910  813  320  552 
41    | 678  683  629  177  847  57   250  199  546  416  219  887  350  618  594  684  327  283  912  851  271  588  987  377  972  879  739  489  246  982  639  955 
42    | 678  683  988  177  773  427  649  174  707  997  759  947  383  693  503  543  378  546  407  926  668  588  561  835  992  686  739  594  772  792  638  843 
43    | 678  651  646  177  117  506  411  875  208  959  259  637  749  788  125  848  823  704  172  874  652  588  867  790  652  921  739  756  865  641  673  610 
44    | 371  276  299  554  54   438  805  155  685  176  231  227  571  800  987  707  752  537  359  790  349  438  415  577  571  707  519  437  926  459  375  906 
45    | 908  547  15   653  916  760  747  14   693  515  841  701  794  844  615  511  642  147  807  722  585  640  281  186  573  897  739  721  1004 280  555  946 
46    | 361  172  743  1021 942  724  223  614  191  548  381  400  914  855  734  948  878  65   136  894  733  949  1002 837  399  257  739  759  1003 779  573  684 
47    | 908  1014 942  547  89   927  441  511  376  937  749  1016 643  649  351  890  93   670  591  613  638  551  466  840  282  666  739  991  1017 782  507  991 
48    | 801  1014 519  755  360  319  349  1015 881  118  120  646  713  762  849  815  924  560  973  353  1009 460  555  581  401  911  739  665  685  814  546  216 
49    | 822  735  688  79   267  133  152  855  378  666  19   679  967  643  406  877  116  728  540  411  311  1017 632  766  600  921  739  631  508  1018 740  946 
50    | 188  263  344  636  129  724  745  350  90   797  814  577  875  294  655  704  774  311  762  833  950  1011 641  593  674  856  1003 769  598  845  512  544 
51    | 959  569  837  680  559  872  147  914  704  392  950  468  942  340  740  378  41   44   543  414  927  552  230  840  466  348  739  461  660  633  688  681 
52    | 908  995  344  644  142  492  984  434  388  760  869  953  206  1002 474  819  930  210  123  353  367  608  463  525  651  439  777  287  1003 557  287  798 
53    | 959  924  913  644  144  161  349  486  551  576  954  1016 896  1000 103  779  648  326  714  672  406  152  602  925  698  956  739  560  685  902  864  938 
54    | 908  75   743  1003 940  495  799  755  430  966  19   934  378  201  213  574  401  356  426  547  698  441  885  596  917  610  1000 940  1007 707  674  552 
55    | 801  569  857  680  897  637  100  349  231  636  800  301  634  243  634  614  493  521  172  885  283  419  547  1009 909  1011 739  860  621  564  482  972 
56    | 851  617  958  524  63   977  725  729  886  419  100  388  623  664  861  810  189  439  197  485  811  165  395  291  672  176  580  222  305  273  508  543 
57    | 569  567  377  360  574  344  100  513  192  493  154  169  1019 636  788  752  715  544  279  597  908  957  605  0    931  389  885  251  738  387  237  696 
58    | 610  207  375  992  262  453  532  927  175  491  0    649  673  155  231  668  990  349  682  733  639  833  676  890  295  885  739  704  907  172  492  470 
59    | 610  892  172  824  644  457  425  800  948  574  664  978  968  1012 619  1018 336  59   975  494  382  588  704  766  255  280  739  931  792  1011 689  494 
60    | 90   781  367  508  194  91   2    478  882  845  377  343  768  861  844  647  398  949  808  222  229  675  728  607  288  631  739  921  524  756  384  232 
61    | 290  11   604  900  191  704  637  544  783  620  528  52   916  554  167  452  814  672  517  489  676  288  265  160  955  373  739  321  617  668  319  806 
62    | 32   783  230  736  256  341  758  374  294  681  853  899  596  740  653  900  82   581  988  703  961  597  1016 218  466  280  739  673  459  486  838  918 
63    | 510  385  623  177  305  55   637  621  18   705  1019 782  703  573  386  530  72   807  203  695  830  619  838  698  866  742  481  576  630  822  994  579 
64    | 210  806  999  50   55   506  817  960  383  742  473  349  849  787  895  577  459  153  798  705  360  808  572  565  563  817  739  843  414  296  926  875 
65    | 232  521  901  737  268  713  681  510  381  933  658  627  800  758  985  427  797  897  832  495  564  920  577  909  532  1008 739  923  841  474  640  244 
66    | 207  505  901  149  747  24   801  107  50   700  389  620  113  576  999  819  787  292  941  382  954  723  746  553  764  851  231  516  695  707  725  905 
67    | 299  69   901  920  922  24   917  698  988  854  357  603  718  929  945  817  972  313  403  497  894  398  998  462  296  913  739  819  638  715  420  473 
68    | 498  226  244  410  343  718  13   662  697  209  497  357  683  895  786  848  834  379  710  950  962  636  272  619  967  466  739  235  522  751  312  425 
69    | 883  256  117  904  745  1010 883  424  886  401  250  977  668  685  469  826  783  22   955  318  850  612  434  730  407  468  739  130  688  497  237  658 
70    | 1003 698  365  902  629  51   158  882  145  334  598  974  894  773  361  917  378  48   729  736  894  791  635  688  862  938  739  947  957  480  759  658 
71    | 959  1014 7    905  559  724  439  855  704  545  243  411  329  381  320  642  135  151  817  534  87   522  466  850  575  469  524  796  675  860  893  883 
72    | 908  75   284  209  940  706  5    354  304  594  1014 341  747  634  583  287  827  31   119  966  977  624  1020 650  394  694  739  513  436  459  583  752 
73    | 801  569  857  680  553  271  297  831  501  770  429  99   734  503  934  940  401  39   761  952  619  603  907  862  931  677  739  488  768  212  720  257 
74    | 908  1014 235  653  365  750  152  728  192  384  391  701  717  923  784  592  913  949  33   985  376  176  632  897  840  501  739  768  723  609  971  890 
75    | 569  198  904  664  360  344  858  883  606  969  393  484  538  260  644  544  505  624  915  487  990  901  463  909  213  462  739  257  608  231  838  868 
76    | 41   1014 81   503  688  207  695  620  989  440  1003 941  734  366  977  867  971  800  558  431  121  370  891  940  862  975  739  662  747  556  1021 856 
77    | 759  1014 15   797  940  91   140  656  514  1005 347  226  997  154  692  761  358  1021 578  795  611  813  650  891  985  925  739  603  838  325  893  917 
78    | 41   1014 753  349  809  675  74   882  341  944  19   469  420  564  824  447  216  1016 720  769  466  592  514  578  949  984  739  888  1015 952  279  473 
79    | 759  1014 15   488  310  935  140  734  692  804  767  789  741  817  588  488  603  243  702  62   924  564  506  919  431  1011 845  540  849  459  556  708 
80    | 822  864  365  680  213  558  727  819  373  740  162  461  331  523  853  529  208  13   769  859  436  846  542  446  594  707  739  827  451  654  628  868 
81    | 188  263  528  360  1023 806  1018 301  861  704  906  821  689  664  974  679  127  439  390  268  155  391  164  697  266  559  423  240  259  730  237  294 
82    | 959  142  365  560  574  804  801  513  574  473  762  253  354  429  619  823  556  407  152  981  238  893  469  596  271  529  639  808  375  914  944  997 
83    | 538  393  755  181  148  445  637  793  848  478  658  25   603  692  466  405  707  373  153  433  144  733  467  607  663  895  739  661  724  912  551  325 
84    | 538  842  94   504  152  24   897  905  80   428  966  774  245  522  684  731  869  343  588  714  819  724  676  440  273  872  739  680  230  609  279  234 
85    | 2    572  193  151  11   4    699  235  302  520  284  473  1023 374  382  153  556  446  512  876  895  735  751  314  563  626  739  491  909  940  791  775 
86    | 365  860  938  736  677  667  630  670  696  517  501  228  949  805  726  549  226  189  868  802  840  684  393  799  292  245  655  285  928  299  927  543 
87    | 653  817  346  177  361  440  856  755  779  1018 462  546  996  606  210  1004 318  29   427  247  786  434  933  959  886  960  824  546  960  300  940  579 
88    | 83   713  901  955  757  649  777  816  432  329  704  894  579  452  386  636  928  543  558  267  604  242  938  701  359  949  662  605  857  834  851  934 
89    | 525  860  616  565  563  965  917  980  41   700  148  424  514  866  868  948  431  50   853  408  640  557  272  514  868  294  739  598  715  894  979  691 
90    | 122  387  623  752  265  61   525  566  247  627  730  776  236  316  955  711  524  59   915  150  915  847  975  562  265  602  630  471  967  605  879  687 
91    | 46   494  623  177  178  91   229  869  226  548  788  304  574  802  780  657  907  537  225  930  1014 702  374  674  657  988  739  226  599  310  863  613 
92    | 46   494  623  177  725  91   159  822  525  144  850  31   936  929  437  559  265  486  374  155  1014 666  958  841  931  824  739  651  270  607  593  695 
93    | 558  1008 48   177  50   169  77   536  522  964  837  1013 509  499  339  764  328  316  174  231  524  354  716  973  880  435  867  929  680  761  246  555 
94    | 41   694  171  499  358  406  306  434  762  897  506  443  647  800  785  955  543  183  615  639  619  624  613  730  950  565  739  843  558  401  670  942 
95    | 759  694  837  795  893  133  264  102  191  894  731  383  374  1006 938  381  924  289  304  808  676  641  798  225  888  638  739  829  984  735  273  987 
96    | 41   1014 137  1021 899  361  297  855  971  582  944  241  1023 247  543  611  871  187  383  462  989  398  959  605  625  435  534  279  724  707  899  867 
97    | 759  1014 15   76   940  398  140  145  551  756  756  797  397  1021 661  877  752  209  808  952  550  514  483  575  1003 202  739  575  694  280  732  477 
98    | 822  694  105  458  867  750  858  248  141  841  957  345  359  764  503  544  135  401  800  1008 940  829  816  633  955  980  739  917  365  543  921  757 
99    | 577  723  459  476  863  811  396  625  191  424  229  346  884  634  442  959  945  246  441  584  903  543  744  893  670  742  276  535  698  960  690  948 
100   | 959  547  716  797  745  189  194  625  824  616  702  547  500  1008 857  568  955  307  281  865  793  203  865  778  441  466  362  778  878  501  323  997 
101   | 908  547  15   644  366  565  714  882  452  212  570  824  694  201  590  970  921  255  444  738  270  742  664  669  805  402  844  829  789  717  696  294 
102   | 959  6    519  644  703  200  1010 495  258  890  782  122  927  891  392  352  471  510  406  457  702  666  992  579  671  626  1016 280  599  947  640  438 
103   | 908  1014 942  360  10   515  685  145  673  738  791  550  853  676  666  523  364  572  800  536  531  850  504  292  1008 620  739  623  948  172  785  865 
104   | 801  1014 519  154  574  706  225  846  139  1002 741  979  257  1006 677  821  840  303  205  196  604  863  395  541  1009 584  739  470  860  563  250  969 
105   | 822  285  515  690  523  720  147  795  785  388  711  646  733  519  300  868  398  818  851  926  507  290  994  996  887  807  550  550  322  902  1005 913 
106   | 569  1009 81   828  545  724  251  802  890  610  558  25   536  769  831  276  990  259  947  604  564  223  685  682  629  956  898  515  934  796  982  747 
107   | 462  249  270  577  82   538  154  656  561  182  444  539  946  843  992  756  431  85   318  382  611  351  688  446  388  529  989  873  596  677  502  867 
108   | 610  781  604  911  871  689  774  702  140  845  415  638  780  1015 593  870  129  664  337  833  714  211  851  846  1003 787  1006 789  698  476  279  517 
109   | 459  184  703  829  867  273  1009 474  882  790  313  262  1006 622  231  792  364  243  255  683  863  813  969  934  600  595  851  915  669  707  452  982 
110   | 741  61   999  427  60   262  279  613  267  756  558  491  1020 484  828  667  448  546  203  786  934  417  220  648  482  240  739  707  955  528  684  657 
111   | 653  806  270  613  12   571  650  28   737  872  646  918  406  763  392  421  769  238  750  357  907  625  886  383  558  402  473  941  189  578  759  839 
112   | 443  860  202  118  428  453  777  248  514  747  652  700  315  296  286  404  519  751  824  237  705  1017 492  657  752  653  718  675  907  376  892  907 
113   | 122  735  623  177  48   165  395  812  921  170  474  325  499  482  397  792  576  670  795  708  457  557  697  562  376  376  851  306  959  458  573  674 
114   | 45   521  999  279  674  282  207  694  1018 39   655  459  291  918  983  520  128  247  300  853  702  687  632  776  1019 844  739  776  844  465  466  884 
115   | 827  989  901  429  363  647  475  737  835  337  564  776  702  969  922  906  549  853  850  797  576  958  830  841  818  519  739  717  312  826  686  669 
116   | 7    64   901  245  580  626  752  225  1005 276  606  952  554  202  501  327  799  6    348  732  914  887  598  888  616  504  739  546  260  747  884  705 
117   | 7    989  901  925  633  274  695  718  251  209  520  558  708  938  880  526  538  1021 227  181  674  781  884  728  285  662  739  623  795  563  901  297 
118   | 718  276  670  1021 44   120  100  293  409  718  612  480  131  923  774  447  640  253  891  470  822  612  294  1004 208  557  739  278  189  622  311  954 
119   | 188  6    837  728  200  724  747  1010 788  559  288  597  712  931  765  343  75   7    737  727  277  592  902  714  848  672  739  869  469  1004 210  992 
120   | 959  6    716  797  353  478  225  714  191  756  914  1006 645  343  674  548  1009 519  119  708  197  679  870  1013 719  734  739  864  716  1003 877  509 
121   | 908  547  15   644  560  565  563  354  465  559  430  190  268  1000 195  255  584  132  205  961  572  312  200  675  916  978  739  380  488  762  934  1010
122   | 801  453  344  680  931  536  225  479  881  1018 717  766  659  783  661  872  814  557  903  708  926  564  828  622  292  542  544  667  792  707  425  928 
123   | 822  1014 144  360  900  319  817  326  72   170  813  740  750  622  537  445  756  925  314  73   474  588  463  798  593  620  956  446  537  707  569  692 
124   | 217  624  637  179  159  1002 374  441  354  162  84   354  526  1017 655  745  901  42   891  566  521  398  1022 320  1015 466  637  868  773  620  859  839 
125   | 250  452  546  906  521  849  262  145  824  666  162  1022 267  492  782  572  859  839  397  868  946  708  728  374  457  251  890  1018 871  465  959  826 
126   | 1003 1014 186  902  815  124  374  978  976  410  927  912  953  988  938  1012 855  237  724  521  234  553  975  576  485  964  739  306  259  806  306  766 
127   | 959  846  143  768  559  887  963  855  161  795  441  60   297  988  392  422  876  222  898  278  444  777  937  769  910  312  420  575  765  1021 498  754 
128   | 765  403  441  79   244  687  552  626  964  914  964  416  864  536  544  267  366  135  967  736  382  836  458  863  900  273  739  322  621  650  541  741 
129   | 801  569  388  360  867  552  858  369  356  743  969  909  344  675  586  987  304  115  769  798  1008 854  849  476  977  715  739  296  975  665  237  857 
130   | 577  775  857  35   940  857  269  466  304  258  502  320  500  511  676  971  41   841  912  277  87   508  605  635  293  882  715  971  913  557  452  741 
131   | 852  802  635  415  574  724  882  479  238  627  539  764  523  161  515  747  120  416  361  944  434  227  605  753  155  710  259  525  944  879  276  988 
132   | 768  936  286  509  715  125  448  996  407  519  573  346  276  715  447  724  361  133  899  615  968  702  814  442  608  964  806  940  944  222  635  249 
133   | 538  11   350  938  897  453  885  262  438  773  184  212  596  360  855  296  720  295  973  607  957  266  1016 619  407  727  541  381  259  786  279  804 
134   | 470  603  808  992  194  88   625  707  254  612  481  916  897  1020 551  850  645  151  793  983  861  833  506  940  296  459  969  292  955  707  684  982 
135   | 510  162  988  378  194  848  214  998  249  47   330  544  114  312  757  575  77   421  946  972  825  398  837  905  307  897  832  934  731  763  879  944 
136   | 299  905  616  855  423  667  732  117  43   777  378  171  690  806  276  1015 62   581  222  839  361  763  840  647  867  280  739  256  924  935  785  691 
137   | 45   521  999  369  115  697  811  908  400  499  914  689  465  732  706  683  732  670  477  725  400  843  838  635  600  504  739  726  657  860  971  389 
138   | 614  1003 901  253  284  24   818  38   858  807  830  762  693  720  919  827  618  483  695  174  863  564  736  536  613  844  963  854  747  591  575  543 
139   | 88   860  690  417  745  575  1013 863  272  290  326  41   686  767  623  850  661  516  248  331  865  315  548  505  1000 249  739  569  747  708  579  649 
140   | 54   860  623  992  21   938  110  755  230  955  368  880  791  116  953  981  448  156  930  597  980  826  521  1017 731  929  826  287  1003 486  551  906 
141   | 637  387  623  43   812  1008 0    51   79   437  1023 529  907  625  766  894  561  402  456  639  209  605  1009 622  1009 441  739  598  443  852  671  823 
142   | 88   137  623  177  708  971  728  199  79   865  140  670  263  944  790  453  791  409  1023 352  717  633  877  882  454  1003 739  571  878  958  776  458 
143   | 371  777  760  585  768  968  801  588  609  685  796  253  218  334  692  934  894  842  930  479  293  629  443  445  697  611  338  301  871  298  1021 585 
144   | 1003 1014 857  949  788  91   168  262  972  47   611  234  554  1016 728  878  789  832  727  369  934  985  713  562  1019 851  739  922  759  874  487  940 
145   | 181  21   647  274  11   51   297  466  658  266  294  184  755  966  921  636  655  430  161  207  807  941  431  577  538  602  739  947  600  847  313  244 
146   | 1003 831  857  266  861  639  863  262  886  176  653  761  801  214  619  610  271  710  720  702  284  699  200  382  540  1012 739  491  611  747  514  470 
147   | 671  995  837  417  857  51   225  244  36   969  254  743  474  689  455  647  766  664  751  473  507  597  793  589  217  565  739  746  744  858  589  590 
148   | 765  1014 441  79   695  771  947  397  661  574  732  302  491  988  616  487  864  370  440  367  941  850  582  674  575  808  739  439  410  578  637  470 
149   | 569  1014 942  788  794  216  307  855  216  206  369  584  906  411  560  963  668  35   453  639  977  843  354  558  862  517  739  566  557  403  1012 961 
150   | 41   382  857  79   189  988  725  495  711  738  160  468  571  960  920  674  203  514  611  739  422  695  866  511  910  975  739  687  561  600  921  506 
151   | 759  1014 474  23   705  637  541  513  181  694  415  942  683  339  932  688  584  702  177  942  879  633  592  0    1013 868  739  568  759  995  299  544 
152   | 41   872  857  644  353  988  569  479  357  768  683  814  616  289  503  827  688  168  898  1000 817  603  409  596  689  667  739  412  907  873  273  739 
153   | 759  1014 837  864  707  760  268  716  286  71   975  178  702  829  391  708  1008 251  820  158  702  803  779  841  991  402  739  571  419  677  296  816 
154   | 822  1014 81   503  688  236  56   442  657  879  947  706  549  582  551  921  810  751  663  407  614  548  272  999  810  431  739  663  485  298  882  297 
155   | 474  246  604  179  602  724  322  955  408  560  679  967  871  561  423  945  355  195  770  787  693  453  401  960  266  274  985  913  548  998  325  858 
156   | 250  21   81   828  523  271  512  148  935  470  315  417  899  672  982  613  109  916  507  708  975  304  401  856  1002 597  479  461  300  1022 637  693 
157   | 975  415  868  76   940  746  282  350  313  474  779  886  266  663  744  810  108  172  330  247  395  777  256  606  384  373  674  430  849  607  482  546 
158   | 762  848  995  246  1020 61   714  750  823  941  520  680  329  925  791  258  165  933  683  826  713  93   961  446  1018 770  481  244  550  902  232  987 
159   | 90   936  762  118  151  459  6    636  658  568  905  762  916  643  988  957  785  35   559  667  883  825  787  519  783  552  739  550  796  729  799  695 
160   | 83   152  394  118  19   538  316  272  483  787  946  917  684  750  820  992  577  537  903  521  551  689  606  562  451  315  739  687  902  907  540  792 
161   | 45   521  999  736  45   282  77   960  533  127  342  990  545  962  819  641  776  759  173  765  258  694  422  395  827  894  739  328  995  714  986  216 
162   | 364  932  616  118  381  954  124  526  108  814  815  260  543  752  614  605  897  203  468  267  502  816  931  627  365  614  739  768  248  182  762  794 
163   | 653  959  215  177  800  6    917  758  385  959  891  599  741  635  370  790  701  70   202  708  263  871  811  752  712  574  739  489  685  916  596  425 
164   | 210  785  988  736  655  994  953  982  574  442  908  632  637  516  550  682  397  243  808  358  830  732  706  714  843  431  739  990  596  690  249  953 
165   | 79   713  73   736  161  896  386  471  318  35   435  992  996  338  752  994  824  755  764  548  894  603  589  743  604  938  739  531  279  739  1000 594 
166   | 108  989  901  272  403  601  109  976  124  925  630  782  876  785  265  387  734  14   222  477  524  759  684  664  303  766  739  308  880  781  776  293 
167   | 232  216  901  658  365  491  105  612  971  374  327  385  630  313  765  950  296  569  479  602  473  972  595  611  488  787  366  649  907  892  978  647 
168   | 851  542  942  547  783  51   979  923  872  666  812  998  119  523  167  482  675  94   934  402  869  556  637  217  315  802  739  469  608  717  613  706 
169   | 692  434  398  788  727  135  68   504  191  693  487  945  480  411  982  947  408  728  898  430  1016 906  475  562  409  917  622  716  933  1016 926  896 
170   | 41   872  857  871  835  34   158  826  634  762  354  341  354  914  362  494  411  97   943  862  1000 812  1015 562  793  631  739  670  611  676  795  993 
171   | 759  872  284  23   681  552  819  717  356  847  503  824  965  761  436  431  945  289  351  940  927  199  557  435  956  466  256  994  886  1014 493  731 
172   | 822  694  857  643  63   133  742  630  0    472  780  939  555  377  788  1011 184  211  831  713  685  274  434  442  540  937  794  686  872  707  941  1010
173   | 985  1014 185  664  809  620  501  214  781  410  296  178  304  239  867  919  444  356  742  435  993  484  393  627  931  493  273  874  696  878  779  277 
174   | 959  569  22   502  638  812  68   819  497  770  283  622  661  422  855  621  486  557  76   598  704  899  1009 882  715  611  713  328  806  852  715  796 
175   | 908  1014 693  415  658  724  374  1021 917  672  184  845  633  823  499  683  741  856  711  277  1003 209  799  203  890  1015 739  914  295  238  605  969 
176   | 959  6    857  247  334  637  745  604  866  476  982  960  518  636  384  544  929  162  243  956  679  843  1014 787  789  851  583  843  853  641  957  438 
177   | 908  6    837  79   881  51   995  943  680  616  867  945  837  249  375  703  129  78   408  714  605  473  636  566  258  881  739  746  809  739  386  969 
178   | 801  1014 313  1000 63   319  264  479  353  744  890  766  132  547  826  959  812  318  544  426  286  519  847  919  485  746  739  383  843  578  416  655 
179   | 908  6    837  1003 18   724  433  993  781  114  749  979  612  201  164  889  567  114  728  708  187  870  200  548  236  615  869  516  747  788  979  517 
180   | 569  781  857  347  574  296  125  721  900  440  858  994  1003 943  647  979  962  25   996  787  512  668  605  965  956  766  672  249  1022 945  731  796 
181   | 41   576  365  828  552  250  320  439  823  882  969  845  808  801  920  971  214  85   349  853  579  427  572  960  266  360  875  481  543  683  757  816 
182   | 470  102  357  937  541  224  1012 926  37   640  340  708  238  692  1012 997  1012 284  242  174  982  926  898  304  544  931  969  1001 443  882  311  585 
183   | 470  145  162  308  719  577  731  367  731  1016 942  218  761  564  515  153  326  696  949  638  855  538  514  884  689  441  739  226  651  238  611  971 
184   | 14   265  189  736  343  434  326  872  385  775  434  558  709  572  657  953  214  243  358  405  930  878  1016 730  955  664  739  323  442  955  691  433 
185   | 741  521  999  394  571  232  77   235  72   587  956  804  634  409  805  546  218  962  203  713  891  533  414  845  534  962  739  773  871  700  386  917 
186   | 510  21   136  118  145  570  658  656  680  386  622  553  237  522  686  998  444  399  203  313  604  229  608  203  492  231  739  1010 861  683  847  404 
187   | 210  921  988  736  55   960  954  332  648  556  706  255  478  755  609  464  699  142  376  881  545  642  288  690  482  548  739  571  827  728  779  678 
188   | 299  487  901  855  284  718  696  372  959  756  617  569  716  561  125  507  883  456  222  534  981  281  220  533  635  675  739  617  640  223  806  711 
189   | 525  860  690  707  577  24   594  941  576  131  426  733  1022 440  468  452  492  639  197  586  971  395  697  514  719  286  739  540  951  971  971  961 
190   | 13   860  623  245  705  721  830  645  323  914  292  531  712  759  862  936  812  25   910  953  844  398  728  516  755  704  739  953  854  275  679  580 
191   | 13   860  623  245  75   76   12   668  515  248  245  396  204  890  261  855  303  614  323  196  271  778  612  222  505  868  739  578  789  248  715  832 
192   | 572  1008 983  432  421  76   326  112  210  814  944  616  728  921  739  709  146  141  262  597  860  942  1000 850  295  245  739  1016 741  631  850  946 
193   | 188  1014 344  833  629  724  929  428  730  854  496  847  399  52   826  704  980  237  399  708  934  652  814  562  890  796  739  488  988  806  697  938 
194   | 959  589  143  502  289  984  503  594  299  494  218  893  836  122  895  793  224  303  427  857  811  553  657  377  896  814  739  805  804  750  417  754 
195   | 908  1014 337  464  360  520  374  139  433  384  22   989  891  966  579  709  933  318  306  231  801  892  960  558  848  435  739  991  573  600  829  792 
196   | 801  547  857  950  360  849  472  155  886  870  587  870  907  161  817  796  724  310  237  615  237  164  855  958  851  240  739  672  499  512  744  708 
