file_path,file_name,extension,duration_sec,n_onsets,onsets_per_sec,associated_chart
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇÕÇ»É}ÉãÉbÅI/hanademo_01.mp3,hanademo_01.mp3,.mp3,87.04,361,4.1475,ÇÕÇ»É}ÉãÉbÅI.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/GIB Ex/Wonderful.mp3,Wonderful.mp3,.mp3,98.85,312,3.1564,basic.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/good-bye crisis/good-bye crisis.mp3,good-bye crisis.mp3,.mp3,117.11,146,1.2467,good-bye crisis.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇµÇ„Ç´ÇµÇ„Ç´ÇøÇ„Å`Ç¢ÇŸÇ§ÅI/ÇµÇ„Ç´ÇµÇ„Ç´ÇøÇ„Å`Ç¢ÇŸÇ§ÅI.mp3,ÇµÇ„Ç´ÇµÇ„Ç´ÇøÇ„Å`Ç¢ÇŸÇ§ÅI.mp3,.mp3,71.42,338,4.7326,ÇµÇ„Ç´ÇµÇ„Ç´ÇøÇ„Å`Ç¢ÇŸÇ§ÅI.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/mottoÅôîhéËÇ…ÇÀ!/mottoÅôîhéËÇ…ÇÀ!.mp3,mottoÅôîhéËÇ…ÇÀ!.mp3,.mp3,89.94,328,3.6469,mottoÅôîhéËÇ…ÇÀ!.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/goldbh/goldbh.mp3,goldbh.mp3,.mp3,84.47,320,3.7884,goldbh.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ironnnakatati/ironnnakatati.mp3,ironnnakatati.mp3,.mp3,134.37,588,4.3759,ironnnakatati.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Love for PAPA/Love for PAPA.mp3,Love for PAPA.mp3,.mp3,89.09,234,2.6266,Love for PAPA.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Amazing sky/Amazing sky.mp3,Amazing sky.mp3,.mp3,116.51,416,3.5706,Amazing sky.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Sweet Love/Sweet Love.mp3,Sweet Love.mp3,.mp3,92.63,398,4.2967,Sweet Love.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/O.SHI.E.TE.ÉgÉDÉãÅ[ÅôÇÕÇüÇ∆/O.SHI.E.TE.ÉgÉDÉãÅ[ÅôÇÕÇüÇ∆.mp3,O.SHI.E.TE.ÉgÉDÉãÅ[ÅôÇÕÇüÇ∆.mp3,.mp3,128.38,218,1.6981,O.SHI.E.TE.ÉgÉDÉãÅ[ÅôÇÕÇüÇ∆.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/tasogaredokino reirainn/tasogaredokino reirainn.mp3,tasogaredokino reirainn.mp3,.mp3,107.86,506,4.6913,tasogaredokino reirainn.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/detonator/detonator.mp3,detonator.mp3,.mp3,93.91,360,3.8334,detonator.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/girlS/girlS.mp3,girlS.mp3,.mp3,118.83,423,3.5597,girlS.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Girl meets Love Ex/Girl meets Love Ex.mp3,Girl meets Love Ex.mp3,.mp3,101.2,319,3.1522,Girl meets Love.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/toiÅÙtoiÅÙtoiÅÙ/toitoitoi.mp3,toitoitoi.mp3,.mp3,94.67,205,2.1655,toitoitoi.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ñÈä‘çs/ÉfÉXÉåÉQÉG ÅuñÈä‘çsÅv.mp3,ÉfÉXÉåÉQÉG ÅuñÈä‘çsÅv.mp3,.mp3,107.11,296,2.7634,basic.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç±ÇßÇÃÇµÇóÇ»ÇóÇ‚ÇóÇ©ÇóÇ»ÇóÇ⁄Ç≈Ç°ÇóÇóÇó/sinayaka.mp3,sinayaka.mp3,.mp3,11.68,56,4.7959,sinayaka.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ètÇÃóz/ètÇÃóz.ogg,ètÇÃóz.ogg,.ogg,93.31,356,3.8153,ètÇÃóz.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/FairlyLife/FairlyLife.mp3,FairlyLife.mp3,.mp3,78.71,127,1.6136,FairlyLife.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Face of Fact/Face of Fact.mp3,Face of Fact.mp3,.mp3,151.03,586,3.8801,Face of Fact.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç†ÅEÇÈÅEÇ“ÅEÇ∂ÅÙ/arupizi.mp3,arupizi.mp3,.mp3,116.65,392,3.3605,arupizi.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉxÉCÉrÅ[ÉÅÉCÉrÅ[/ÉxÉCÉrÅ[ÉÅÉCÉrÅ[.mp3,ÉxÉCÉrÅ[ÉÅÉCÉrÅ[.mp3,.mp3,120.74,499,4.1329,ÉxÉCÉrÅ[ÉÅÉCÉrÅ[.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/óˆêFÇÃâ‘çÁÇ≠ç†/hpt.mp3,hpt.mp3,.mp3,111.41,365,3.2761,hpt.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/yu-topia/yu-topia.mp3,yu-topia.mp3,.mp3,96.18,371,3.8572,yu-topia.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/èÉê^Ç»â‘Ç§ÇÁÇ»Ç¢/ÇªÇÃâ‘Ç—ÇÁÇ…Ç≠ÇøÇ√ÇØÇOPÅuèÉê^Ç»â‘Ç§ÇÁÇ»Ç¢Åv.mp3,ÇªÇÃâ‘Ç—ÇÁÇ…Ç≠ÇøÇ√ÇØÇOPÅuèÉê^Ç»â‘Ç§ÇÁÇ»Ç¢Åv.mp3,.mp3,93.78,318,3.3909,basic.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Love flower/Love flower.mp3,Love flower.mp3,.mp3,75.25,187,2.4852,Love flower.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/óˆÇµÇƒãRém/óˆÇµÇƒãRém.mp3,óˆÇµÇƒãRém.mp3,.mp3,100.08,287,2.8678,óˆÇµÇƒãRém.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/hitsugi/hitsugi.mp3,hitsugi.mp3,.mp3,145.19,278,1.9148,hitsugi.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/LOVEÅôHARLEMÅôGAME/LoveHarlemGame.mp3,LoveHarlemGame.mp3,.mp3,113.03,332,2.9372,LoveHarlemGame.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ä™éqÇÃÉpÅ[ÉtÉFÉNÉgÉGÉåÉKÉìÉgã≥é∫/ä™éqÇÃÉpÅ[ÉtÉFÉNÉgÉGÉåÉKÉìÉgã≥é∫.mp3,ä™éqÇÃÉpÅ[ÉtÉFÉNÉgÉGÉåÉKÉìÉgã≥é∫.mp3,.mp3,127.63,432,3.3847,ä™éqÇÃÉpÅ[ÉtÉFÉNÉgÉGÉåÉKÉìÉgã≥é∫.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/welcomeÅôberry's/welcomeÅôberry's.mp3,welcomeÅôberry's.mp3,.mp3,98.25,245,2.4937,welcomeÅôberry's.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/kyoukiA/kyoukiA.mp3,kyoukiA.mp3,.mp3,115.49,469,4.0611,kyoukiA.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Tuk Tuk Boshi/Tuk Tuk Boshi.mp3,Tuk Tuk Boshi.mp3,.mp3,144.84,496,3.4245,Tuk Tuk Boshi.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/é‹îMbeach side bunny/é‹îMBeach Side Bunny.mp3,é‹îMBeach Side Bunny.mp3,.mp3,129.12,194,1.5024,é‹îM.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Plasma Strike/Plasma Strike.mp3,Plasma Strike.mp3,.mp3,141.32,929,6.5739,Plasma Strike.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç”ÇÍÇ†ÅôÇ±ÇÒÇ’ÇÍÇ¡Ç≠Ç∑/Ç”ÇÍÇ†ÅôÇ±ÇÒÇ’ÇÍÇ¡Ç≠Ç∑.mp3,Ç”ÇÍÇ†ÅôÇ±ÇÒÇ’ÇÍÇ¡Ç≠Ç∑.mp3,.mp3,94.66,236,2.4932,Ç”ÇÍÇ†ÅôÇ±ÇÒÇ’ÇÍÇ¡Ç≠Ç∑.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/colorful precious life/colorful precious life.mp3,colorful precious life.mp3,.mp3,97.44,387,3.9718,colorful precious life.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/èˆîMÉÜÅ[ÉgÉsÉAEx/yu-topiaEx.mp3,yu-topiaEx.mp3,.mp3,242.22,1015,4.1904,yu-topiaEx.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Melty Air/Melty Air.mp3,Melty Air.mp3,.mp3,119.69,497,4.1523,Melty Air.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Russian Caravan Rhapsody/Russian Caravan Rhapsody.mp3,Russian Caravan Rhapsody.mp3,.mp3,119.11,120,1.0075,Russian Caravan Rhapsody.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/åNÇ©ÇÁénÇ‹ÇÈäÔê’/åNÇ©ÇÁénÇ‹ÇÈäÔê’.mp3,åNÇ©ÇÁénÇ‹ÇÈäÔê’.mp3,.mp3,125.06,480,3.838,åNÇ©ÇÁénÇ‹ÇÈäÔê’.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇËÇ∆ÇÈÇ‹Ç¢Ç∑ÇƒÇ¡Ç’/ÇËÇ∆ÇÈÇ‹Ç¢Ç∑ÇƒÇ¡Ç’.mp3,ÇËÇ∆ÇÈÇ‹Ç¢Ç∑ÇƒÇ¡Ç’.mp3,.mp3,94.89,200,2.1077,ÇËÇ∆ÇÈÇ‹Ç¢Ç∑ÇƒÇ¡Ç’.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/‡aÅXÇΩÇÈçïâåÇÕçÁÇ´/‡aÅXÇΩÇÈçïâåÇÕçÁÇ´.mp3,‡aÅXÇΩÇÈçïâåÇÕçÁÇ´.mp3,.mp3,127.9,523,4.0893,‡aÅXÇΩÇÈçïâåÇÕçÁÇ´.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/É~ÉTÉRÇÃì˙ãL (å©ÇøÇ·É_ÉÅ!)/É~ÉTÉRÇÃì˙ãL (å©ÇøÇ·É_ÉÅ!).mp3,É~ÉTÉRÇÃì˙ãL (å©ÇøÇ·É_ÉÅ!).mp3,.mp3,125.64,692,5.5079,É~ÉTÉRÇÃì˙ãL (å©ÇøÇ·É_ÉÅ!).sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Soul On Fire/Soul On Fire.mp3,Soul On Fire.mp3,.mp3,127.13,96,0.7552,Soul On Fire.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ECHO/ECHO.mp3,ECHO.mp3,.mp3,102.0,34,0.3333,ECHO.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/çïîØóêÇÍÇµèCóÖÇ∆Ç»ÇËÇƒ/çïîØóêÇÍÇµèCóÖÇ∆Ç»ÇËÇƒ.mp3,çïîØóêÇÍÇµèCóÖÇ∆Ç»ÇËÇƒ.mp3,.mp3,123.78,186,1.5026,çïîØóêÇÍÇµèCóÖÇ∆Ç»ÇËÇƒ.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Lively Passion/Lively Passion.mp3,Lively Passion.mp3,.mp3,93.64,192,2.0505,Lively Passion.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Love Climax/Love Climax.mp3,Love Climax.mp3,.mp3,139.81,171,1.2231,Love Climax.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç§ÇøÇ„Ç§Ç™Ç∆ÇÁÇ‘ÇÈÅI/utyu.mp3,utyu.mp3,.mp3,110.08,531,4.8238,utyu.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉiÉcÉÅÉO/natumegu.mp3,natumegu.mp3,.mp3,97.49,231,2.3695,natumegu.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/kimitotsukuru/kimitotsukuru.mp3,kimitotsukuru.mp3,.mp3,117.05,444,3.7933,kimitotsukuru.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/The fine every day/The fine every day.mp3,The fine every day.mp3,.mp3,90.25,147,1.6288,The fine every day.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/óˆÇ∑ÇÈê_í óÕ/óˆÇ∑ÇÈê_í óÕ.mp3,óˆÇ∑ÇÈê_í óÕ.mp3,.mp3,101.8,305,2.9961,óˆÇ∑ÇÈê_í óÕ.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/NoNoNo/NoNoNo.mp3,NoNoNo.mp3,.mp3,104.67,406,3.8788,NoNoNo.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/last stardust/last stardust.mp3,last stardust.mp3,.mp3,100.73,69,0.685,last stardust.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Love Me Love La Bride!!/Love Me Love La Bride!!.mp3,Love Me Love La Bride!!.mp3,.mp3,101.07,240,2.3746,LOVE.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Passion/Passion.mp3,Passion.mp3,.mp3,105.16,256,2.4345,Passion.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç±Ç»Ç‰Ç´Ç”ÇÈÇË/Vision.mp3,Vision.mp3,.mp3,130.9,464,3.5447,Vision.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç∑Ç´ÉbÉXSTEADYÅôÉLÉbÉX!!/Ç∑Ç´ÉbÉXSTEADYÅôÉLÉbÉX!!.mp3,Ç∑Ç´ÉbÉXSTEADYÅôÉLÉbÉX!!.mp3,.mp3,127.19,540,4.2456,Ç∑Ç´ÉbÉXSTEADYÅôÉLÉbÉX!!.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç›Ç±Ç›Ç±ÉâÉìÉuÉãÅ`Ç†Ç»ÇΩÇ∆‚SÇ∞Ç¡ÇøÇ„Å[Å`/Ç›Ç±Ç›Ç±ÉâÉìÉuÉãÅ`Ç†Ç»ÇΩÇ∆‚SÇ∞Ç¡ÇøÇ„Å[Å`.mp3,Ç›Ç±Ç›Ç±ÉâÉìÉuÉãÅ`Ç†Ç»ÇΩÇ∆‚SÇ∞Ç¡ÇøÇ„Å[Å`.mp3,.mp3,132.14,660,4.9946,Ç›Ç±Ç›Ç±ÉâÉìÉuÉãÅ`Ç†Ç»ÇΩÇ∆‚SÇ∞Ç¡ÇøÇ„Å[Å`.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/HELLorHELL/HELLorHELL.mp3,HELLorHELL.mp3,.mp3,128.69,184,1.4298,HELLorHELL.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/èHêF/akiiro.mp3,akiiro.mp3,.mp3,126.43,253,2.0011,akiiro.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/More-more LOVERS!!/More-more LOVERS!!.mp3,More-more LOVERS!!.mp3,.mp3,90.28,336,3.7218,More-more LOVERS!!.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/óˆÇÃï‚èKÇénÇﬂÇ‹Show/lovehosyuu.mp3,lovehosyuu.mp3,.mp3,95.97,360,3.751,lovehosyuu.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/issyoumono/issyoumono.mp3,issyoumono.mp3,.mp3,107.08,300,2.8018,issyoumono.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/My Little Glory/My Little Glory.mp3,My Little Glory.mp3,.mp3,120.26,477,3.9665,My Little Glory.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Acid Pumper/Acid Pumper.mp3,Acid Pumper.mp3,.mp3,120.02,389,3.2411,Acid Pumper.ssc
