# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.05
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.2, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,total_onsets_in_beat_slot,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
117.5,2.37,0.00,2,True,0110,0000-10.0%|0001-15.9%|0010-9.1%|0100-6.8%|1000-3.5%|0011-8.6%|0101-5.4%|0110-18.2%|1001-0.0%|1010-0.0%|1100-0.0%|0111-10.5%|1011-0.0%|1101-4.0%|1110-3.4%|1111-4.4%,0110,2.02
117.5,2.37,5.62,3,True,0001,0000-8.4%|0001-17.2%|0010-4.5%|0100-6.1%|1000-3.5%|0011-5.4%|0101-4.1%|0110-29.1%|1001-0.0%|1010-0.0%|1100-4.5%|0111-5.7%|1011-0.0%|1101-0.0%|1110-5.4%|1111-6.1%,0001,1.93
117.5,2.37,6.13,2,True,0100,0000-9.1%|0001-8.8%|0010-0.0%|0100-5.2%|1000-4.1%|0011-5.0%|0101-6.1%|0110-25.3%|1001-0.0%|1010-0.0%|1100-7.4%|0111-6.3%|1011-0.0%|1101-8.2%|1110-7.1%|1111-7.5%,0100,2.08
117.5,2.37,6.64,3,True,1000,0000-11.9%|0001-10.6%|0010-3.9%|0100-0.0%|1000-3.7%|0011-4.8%|0101-6.8%|0110-24.6%|1001-0.0%|1010-0.0%|1100-6.8%|0111-6.6%|1011-0.0%|1101-7.4%|1110-6.2%|1111-6.7%,1000,2.08
117.5,2.37,7.15,2,True,1101,0000-12.9%|0001-9.8%|0010-3.9%|0100-3.6%|1000-0.0%|0011-4.8%|0101-6.2%|0110-24.2%|1001-0.0%|1010-0.0%|1100-6.9%|0111-6.6%|1011-0.0%|1101-7.7%|1110-6.5%|1111-7.1%,1101,2.09
117.5,2.37,7.66,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,8.17,3,True,0111,0000-7.0%|0001-9.7%|0010-0.0%|0100-6.6%|1000-4.5%|0011-4.0%|0101-5.5%|0110-25.0%|1001-3.3%|1010-0.0%|1100-9.3%|0111-5.7%|1011-0.0%|1101-6.9%|1110-6.0%|1111-6.6%,0111,2.11
117.5,2.37,8.68,2,True,1110,0000-8.7%|0001-10.2%|0010-0.0%|0100-6.9%|1000-4.0%|0011-4.1%|0101-5.9%|0110-25.1%|1001-3.0%|1010-0.0%|1100-8.4%|0111-3.5%|1011-0.0%|1101-8.0%|1110-5.7%|1111-6.6%,1110,2.11
117.5,2.37,9.20,3,True,0000,0000-10.9%|0001-10.1%|0010-3.0%|0100-6.7%|1000-3.6%|0011-4.2%|0101-6.0%|0110-26.2%|1001-0.0%|1010-2.8%|1100-7.8%|0111-4.9%|1011-0.0%|1101-7.4%|1110-0.0%|1111-6.3%,0000,2.11
117.5,2.37,9.71,3,True,0110,0000-7.8%|0001-10.3%|0010-3.0%|0100-7.0%|1000-3.8%|0011-4.2%|0101-8.4%|0110-25.0%|1001-0.0%|1010-0.0%|1100-7.9%|0111-4.8%|1011-0.0%|1101-7.6%|1110-3.6%|1111-6.6%,0110,2.11
117.5,2.37,10.22,3,True,1101,0000-7.7%|0001-12.6%|0010-0.0%|0100-4.9%|1000-3.8%|0011-0.0%|0101-5.6%|0110-19.3%|1001-0.0%|1010-3.6%|1100-8.2%|0111-6.9%|1011-4.2%|1101-6.6%|1110-7.2%|1111-9.5%,1101,2.20
117.5,2.37,10.73,2,True,1100,0000-8.5%|0001-13.4%|0010-0.0%|0100-7.7%|1000-3.6%|0011-4.0%|0101-6.0%|0110-21.2%|1001-0.0%|1010-3.2%|1100-7.0%|0111-7.7%|1011-3.7%|1101-0.0%|1110-5.7%|1111-8.4%,1100,2.20
117.5,2.37,11.24,3,True,0101,0000-8.7%|0001-14.4%|0010-0.0%|0100-7.8%|1000-4.5%|0011-4.4%|0101-6.2%|0110-23.7%|1001-0.0%|1010-0.0%|1100-2.9%|0111-9.9%|1011-0.0%|1101-2.9%|1110-5.8%|1111-8.7%,0101,2.20
117.5,2.37,11.75,4,True,0110,0000-8.6%|0001-13.3%|0010-0.0%|0100-8.3%|1000-4.7%|0011-4.4%|0101-3.5%|0110-22.3%|1001-0.0%|1010-0.0%|1100-4.6%|0111-9.1%|1011-0.0%|1101-5.4%|1110-6.4%|1111-9.3%,0110,2.20
117.5,2.37,12.26,4,True,0110,0000-10.0%|0001-12.3%|0010-0.0%|0100-7.2%|1000-5.8%|0011-3.6%|0101-3.9%|0110-15.9%|1001-3.4%|1010-0.0%|1100-6.3%|0111-6.9%|1011-0.0%|1101-8.2%|1110-8.1%|1111-8.3%,0110,2.30
117.5,2.37,12.77,4,True,0000,0000-10.7%|0001-12.7%|0010-0.0%|0100-8.0%|1000-5.0%|0011-3.9%|0101-4.4%|0110-13.7%|1001-3.0%|1010-0.0%|1100-5.7%|0111-10.4%|1011-0.0%|1101-7.4%|1110-7.0%|1111-8.0%,0000,2.30
117.5,2.37,13.28,2,True,0001,0000-6.3%|0001-12.0%|0010-0.0%|0100-7.3%|1000-5.1%|0011-3.9%|0101-4.0%|0110-16.2%|1001-3.2%|1010-0.0%|1100-5.8%|0111-10.4%|1011-0.0%|1101-7.5%|1110-9.9%|1111-8.4%,0001,2.31
117.5,2.37,13.79,2,True,1111,0000-10.0%|0001-7.6%|0010-0.0%|0100-7.4%|1000-5.3%|0011-3.8%|0101-4.2%|0110-15.2%|1001-3.2%|1010-0.0%|1100-6.0%|0111-10.3%|1011-0.0%|1101-7.8%|1110-10.3%|1111-8.9%,1111,2.31
117.5,2.37,14.30,2,True,0110,0000-8.1%|0001-9.5%|0010-0.0%|0100-6.7%|1000-6.9%|0011-4.0%|0101-0.0%|0110-15.7%|1001-4.2%|1010-0.0%|1100-6.5%|0111-8.4%|1011-3.7%|1101-7.4%|1110-11.2%|1111-7.8%,0110,2.54
117.5,2.37,14.81,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,15.33,3,True,0111,0000-5.3%|0001-10.1%|0010-0.0%|0100-7.1%|1000-5.7%|0011-4.2%|0101-3.8%|0110-14.9%|1001-3.6%|1010-0.0%|1100-8.3%|0111-9.1%|1011-0.0%|1101-9.4%|1110-10.0%|1111-8.4%,0111,2.55
117.5,2.37,15.84,1,True,0100,0000-6.7%|0001-9.9%|0010-0.0%|0100-7.1%|1000-6.0%|0011-4.2%|0101-5.7%|0110-14.0%|1001-3.7%|1010-0.0%|1100-8.5%|0111-5.3%|1011-0.0%|1101-9.5%|1110-10.4%|1111-8.9%,0100,2.55
117.5,2.37,16.35,3,True,0001,0000-7.8%|0001-9.2%|0010-0.0%|0100-3.4%|1000-7.3%|0011-3.7%|0101-5.0%|0110-18.7%|1001-3.6%|1010-0.0%|1100-7.7%|0111-8.5%|1011-0.0%|1101-8.1%|1110-10.4%|1111-6.9%,0001,2.58
117.5,2.37,16.86,2,True,0110,0000-8.4%|0001-5.9%|0010-0.0%|0100-4.9%|1000-6.6%|0011-3.7%|0101-5.4%|0110-21.7%|1001-3.3%|1010-0.0%|1100-7.3%|0111-8.6%|1011-0.0%|1101-7.8%|1110-9.7%|1111-6.5%,0110,2.58
117.5,2.37,17.37,2,True,0001,0000-11.2%|0001-7.8%|0010-0.0%|0100-5.0%|1000-6.2%|0011-4.0%|0101-5.5%|0110-19.1%|1001-3.2%|1010-0.0%|1100-6.7%|0111-9.5%|1011-0.0%|1101-7.0%|1110-8.8%|1111-6.0%,0001,2.59
117.5,2.37,17.88,3,True,0110,0000-11.2%|0001-6.0%|0010-0.0%|0100-4.9%|1000-6.4%|0011-3.9%|0101-5.4%|0110-20.6%|1001-3.2%|1010-0.0%|1100-6.9%|0111-9.2%|1011-0.0%|1101-7.1%|1110-9.2%|1111-6.2%,0110,2.59
117.5,2.37,18.39,3,True,0110,0000-8.4%|0001-9.6%|0010-0.0%|0100-4.1%|1000-4.7%|0011-3.4%|0101-5.1%|0110-14.6%|1001-0.0%|1010-0.0%|1100-9.5%|0111-6.6%|1011-0.0%|1101-9.9%|1110-13.3%|1111-10.7%,0110,2.63
117.5,2.37,18.90,1,True,0100,0000-9.0%|0001-9.5%|0010-0.0%|0100-4.3%|1000-4.3%|0011-3.7%|0101-5.2%|0110-14.0%|1001-0.0%|1010-0.0%|1100-9.5%|0111-6.5%|1011-0.0%|1101-10.0%|1110-13.2%|1111-10.8%,0100,2.63
117.5,2.37,19.41,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,19.92,2,True,0011,0000-8.0%|0001-10.3%|0010-0.0%|0100-3.0%|1000-3.9%|0011-3.8%|0101-5.3%|0110-18.1%|1001-0.0%|1010-0.0%|1100-8.2%|0111-10.1%|1011-0.0%|1101-8.6%|1110-11.1%|1111-9.7%,0011,2.63
117.5,2.37,20.43,1,True,0100,0000-10.2%|0001-8.6%|0010-3.3%|0100-5.0%|1000-4.3%|0011-3.2%|0101-5.9%|0110-18.7%|1001-0.0%|1010-0.0%|1100-5.9%|0111-10.2%|1011-0.0%|1101-6.8%|1110-9.9%|1111-8.0%,0100,2.66
117.5,2.37,20.94,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,21.46,2,True,0000,0000-7.1%|0001-11.2%|0010-0.0%|0100-3.7%|1000-3.6%|0011-4.5%|0101-6.4%|0110-23.8%|1001-0.0%|1010-0.0%|1100-5.5%|0111-11.4%|1011-0.0%|1101-6.3%|1110-8.9%|1111-7.5%,0000,2.66
117.5,2.37,21.97,2,True,0100,0000-5.5%|0001-13.6%|0010-0.0%|0100-3.6%|1000-3.7%|0011-4.3%|0101-6.1%|0110-23.1%|1001-0.0%|1010-0.0%|1100-5.6%|0111-11.6%|1011-0.0%|1101-6.4%|1110-9.0%|1111-7.6%,0100,2.66
117.5,2.37,22.48,2,True,0100,0000-9.0%|0001-14.6%|0010-3.5%|0100-3.2%|1000-4.8%|0011-4.0%|0101-6.2%|0110-20.8%|1001-0.0%|1010-0.0%|1100-5.5%|0111-9.4%|1011-0.0%|1101-5.3%|1110-7.5%|1111-6.2%,0100,2.70
117.5,2.37,22.99,4,True,0101,0000-9.4%|0001-14.7%|0010-3.4%|0100-0.0%|1000-4.6%|0011-3.9%|0101-6.5%|0110-23.8%|1001-0.0%|1010-0.0%|1100-5.4%|0111-9.4%|1011-0.0%|1101-5.3%|1110-7.2%|1111-6.2%,0101,2.70
117.5,2.37,23.50,4,True,0100,0000-9.0%|0001-14.8%|0010-3.4%|0100-4.0%|1000-4.6%|0011-4.0%|0101-3.3%|0110-23.6%|1001-0.0%|1010-0.0%|1100-5.3%|0111-9.5%|1011-0.0%|1101-5.2%|1110-7.2%|1111-6.2%,0100,2.70
117.5,2.37,24.01,4,True,0000,0000-11.2%|0001-14.5%|0010-3.1%|0100-0.0%|1000-4.8%|0011-3.5%|0101-4.5%|0110-24.0%|1001-0.0%|1010-0.0%|1100-5.5%|0111-9.2%|1011-0.0%|1101-5.6%|1110-7.6%|1111-6.5%,0000,2.70
117.5,2.37,24.52,3,True,0110,0000-5.8%|0001-13.6%|0010-3.2%|0100-0.0%|1000-4.8%|0011-5.7%|0101-4.2%|0110-24.4%|1001-0.0%|1010-0.0%|1100-6.2%|0111-10.1%|1011-0.0%|1101-6.7%|1110-8.6%|1111-6.7%,0110,2.91
117.5,2.37,25.03,4,True,0000,0000-7.8%|0001-14.4%|0010-0.0%|0100-4.7%|1000-4.8%|0011-6.1%|0101-4.8%|0110-20.2%|1001-0.0%|1010-0.0%|1100-6.1%|0111-10.0%|1011-0.0%|1101-6.5%|1110-8.2%|1111-6.5%,0000,2.91
117.5,2.37,25.54,4,True,1111,0000-6.0%|0001-13.9%|0010-3.6%|0100-4.3%|1000-4.3%|0011-6.2%|0101-4.5%|0110-21.7%|1001-0.0%|1010-0.0%|1100-5.5%|0111-10.4%|1011-0.0%|1101-6.0%|1110-7.5%|1111-6.2%,1111,2.91
117.5,2.37,26.05,1,True,1000,0000-9.6%|0001-13.7%|0010-3.7%|0100-4.8%|1000-4.5%|0011-6.2%|0101-4.8%|0110-22.3%|1001-0.0%|1010-0.0%|1100-5.8%|0111-10.5%|1011-0.0%|1101-6.2%|1110-7.9%|1111-0.0%,1000,2.91
117.5,2.37,26.56,3,True,0110,0000-8.2%|0001-11.3%|0010-0.0%|0100-5.6%|1000-3.3%|0011-3.8%|0101-3.7%|0110-22.1%|1001-0.0%|1010-3.3%|1100-6.8%|0111-9.1%|1011-0.0%|1101-7.6%|1110-10.6%|1111-4.6%,0110,2.96
117.5,2.37,27.07,3,True,1101,0000-9.3%|0001-11.7%|0010-0.0%|0100-8.3%|1000-4.1%|0011-4.0%|0101-3.8%|0110-17.9%|1001-0.0%|1010-3.2%|1100-6.6%|0111-9.3%|1011-0.0%|1101-7.2%|1110-10.0%|1111-4.4%,1101,2.96
117.5,2.37,27.59,3,True,1111,0000-9.0%|0001-11.8%|0010-0.0%|0100-7.8%|1000-3.9%|0011-4.2%|0101-5.8%|0110-20.2%|1001-0.0%|1010-3.2%|1100-6.3%|0111-9.9%|1011-0.0%|1101-3.7%|1110-9.8%|1111-4.4%,1111,2.96
117.5,2.37,28.10,2,True,0100,0000-9.4%|0001-11.4%|0010-0.0%|0100-10.8%|1000-3.8%|0011-4.1%|0101-5.8%|0110-21.1%|1001-0.0%|1010-3.2%|1100-6.3%|0111-9.7%|1011-0.0%|1101-4.5%|1110-10.0%|1111-0.0%,0100,2.96
117.5,2.37,28.61,2,True,0000,0000-10.9%|0001-11.0%|0010-0.0%|0100-6.0%|1000-4.1%|0011-4.5%|0101-5.7%|0110-19.0%|1001-0.0%|1010-3.5%|1100-6.5%|0111-9.4%|1011-0.0%|1101-5.1%|1110-10.6%|1111-3.6%,0000,2.95
117.5,2.37,29.12,3,True,0111,0000-8.1%|0001-12.0%|0010-3.3%|0100-7.8%|1000-3.5%|0011-5.2%|0101-6.0%|0110-22.2%|1001-0.0%|1010-3.3%|1100-5.7%|0111-9.6%|1011-0.0%|1101-4.2%|1110-9.2%|1111-0.0%,0111,2.95
117.5,2.37,29.63,1,True,0001,0000-12.0%|0001-11.9%|0010-3.2%|0100-7.8%|1000-3.3%|0011-5.1%|0101-6.1%|0110-23.3%|1001-0.0%|1010-3.1%|1100-5.5%|0111-5.9%|1011-0.0%|1101-4.1%|1110-8.6%|1111-0.0%,0001,2.95
117.5,2.37,30.14,3,True,1111,0000-11.7%|0001-6.9%|0010-3.8%|0100-8.3%|1000-0.0%|0011-5.9%|0101-6.4%|0110-23.4%|1001-0.0%|1010-3.3%|1100-5.5%|0111-7.1%|1011-0.0%|1101-4.2%|1110-8.8%|1111-4.5%,1111,2.95
117.5,2.37,30.65,2,True,0000,0000-12.0%|0001-10.0%|0010-2.9%|0100-7.7%|1000-4.0%|0011-5.2%|0101-5.6%|0110-25.7%|1001-0.0%|1010-0.0%|1100-5.8%|0111-8.2%|1011-0.0%|1101-3.9%|1110-9.0%|1111-0.0%,0000,3.12
117.5,2.37,31.16,1,True,0111,0000-9.0%|0001-10.2%|0010-3.1%|0100-7.9%|1000-3.3%|0011-5.5%|0101-5.5%|0110-30.6%|1001-0.0%|1010-0.0%|1100-5.2%|0111-8.4%|1011-0.0%|1101-3.3%|1110-8.2%|1111-0.0%,0111,3.12
117.5,2.37,31.67,2,True,1110,0000-10.0%|0001-10.2%|0010-3.0%|0100-7.9%|1000-3.3%|0011-5.4%|0101-5.7%|0110-30.7%|1001-0.0%|1010-0.0%|1100-5.2%|0111-5.3%|1011-0.0%|1101-5.3%|1110-7.9%|1111-0.0%,1110,3.12
117.5,2.37,32.18,1,True,0110,0000-10.7%|0001-9.6%|0010-3.4%|0100-8.2%|1000-0.0%|0011-5.9%|0101-5.5%|0110-32.1%|1001-0.0%|1010-0.0%|1100-4.9%|0111-6.7%|1011-0.0%|1101-4.8%|1110-4.1%|1111-3.9%,0110,3.12
117.5,2.37,32.69,1,True,0101,0000-8.1%|0001-9.1%|0010-0.0%|0100-9.7%|1000-5.9%|0011-4.7%|0101-5.5%|0110-23.6%|1001-0.0%|1010-3.2%|1100-6.2%|0111-5.8%|1011-0.0%|1101-6.2%|1110-7.4%|1111-4.6%,0101,3.36
117.5,2.37,33.20,2,True,1110,0000-11.4%|0001-9.5%|0010-0.0%|0100-10.2%|1000-5.7%|0011-5.2%|0101-0.0%|0110-25.9%|1001-0.0%|1010-3.1%|1100-5.9%|0111-5.9%|1011-0.0%|1101-5.9%|1110-6.9%|1111-4.4%,1110,3.36
117.5,2.37,33.72,2,True,0110,0000-11.1%|0001-9.6%|0010-0.0%|0100-10.2%|1000-5.4%|0011-5.2%|0101-3.8%|0110-26.7%|1001-0.0%|1010-0.0%|1100-5.7%|0111-8.8%|1011-0.0%|1101-5.7%|1110-3.6%|1111-4.2%,0110,3.36
117.5,2.37,34.23,2,True,1100,0000-11.6%|0001-12.3%|0010-0.0%|0100-10.6%|1000-5.4%|0011-5.1%|0101-3.7%|0110-22.7%|1001-0.0%|1010-0.0%|1100-5.8%|0111-8.3%|1011-0.0%|1101-5.6%|1110-4.7%|1111-4.2%,1100,3.36
117.5,2.37,34.74,1,True,0110,0000-13.6%|0001-13.1%|0010-0.0%|0100-10.6%|1000-5.4%|0011-4.5%|0101-5.9%|0110-21.8%|1001-0.0%|1010-2.7%|1100-0.0%|0111-8.1%|1011-0.0%|1101-5.3%|1110-3.6%|1111-5.3%,0110,3.41
117.5,2.37,35.25,3,True,0110,0000-17.4%|0001-13.6%|0010-0.0%|0100-10.6%|1000-5.1%|0011-5.1%|0101-6.0%|0110-17.7%|1001-0.0%|1010-0.0%|1100-2.9%|0111-8.2%|1011-0.0%|1101-5.0%|1110-3.3%|1111-5.1%,0110,3.41
117.5,2.37,35.76,3,True,0000,0000-17.0%|0001-13.4%|0010-0.0%|0100-10.8%|1000-5.1%|0011-4.7%|0101-6.1%|0110-15.7%|1001-0.0%|1010-0.0%|1100-2.9%|0111-11.1%|1011-0.0%|1101-5.0%|1110-3.2%|1111-5.0%,0000,3.41
117.5,2.37,36.27,4,True,0100,0000-12.7%|0001-13.3%|0010-0.0%|0100-11.3%|1000-4.8%|0011-4.8%|0101-6.1%|0110-18.6%|1001-0.0%|1010-0.0%|1100-2.9%|0111-11.0%|1011-0.0%|1101-4.8%|1110-4.7%|1111-4.9%,0100,3.41
117.5,2.37,36.78,4,True,0101,0000-11.9%|0001-13.0%|0010-0.0%|0100-6.0%|1000-6.5%|0011-3.9%|0101-5.1%|0110-20.3%|1001-0.0%|1010-0.0%|1100-3.9%|0111-9.6%|1011-0.0%|1101-6.5%|1110-7.3%|1111-5.9%,0101,3.47
117.5,2.37,37.29,4,True,1000,0000-12.6%|0001-13.4%|0010-0.0%|0100-7.5%|1000-6.1%|0011-4.0%|0101-4.1%|0110-20.6%|1001-0.0%|1010-0.0%|1100-3.6%|0111-9.6%|1011-0.0%|1101-6.0%|1110-6.7%|1111-5.6%,1000,3.47
117.5,2.37,37.80,4,True,0011,0000-12.4%|0001-13.2%|0010-0.0%|0100-7.4%|1000-3.1%|0011-4.0%|0101-5.2%|0110-21.1%|1001-0.0%|1010-0.0%|1100-3.4%|0111-9.9%|1011-0.0%|1101-5.8%|1110-8.9%|1111-5.4%,0011,3.47
117.5,2.37,38.31,3,True,1111,0000-12.1%|0001-12.4%|0010-0.0%|0100-7.6%|1000-3.7%|0011-0.0%|0101-5.1%|0110-23.5%|1001-0.0%|1010-2.8%|1100-3.4%|0111-9.6%|1011-0.0%|1101-5.7%|1110-8.8%|1111-5.3%,1111,3.47
117.5,2.37,38.82,4,True,1100,0000-11.1%|0001-9.3%|0010-0.0%|0100-6.7%|1000-5.1%|0011-0.0%|0101-4.6%|0110-18.3%|1001-0.0%|1010-3.3%|1100-7.9%|0111-9.7%|1011-0.0%|1101-8.2%|1110-11.7%|1111-4.2%,1100,3.51
117.5,2.37,39.33,2,True,0111,0000-11.5%|0001-9.5%|0010-0.0%|0100-6.9%|1000-4.8%|0011-0.0%|0101-4.6%|0110-20.9%|1001-0.0%|1010-3.1%|1100-4.3%|0111-9.8%|1011-0.0%|1101-8.0%|1110-11.5%|1111-5.1%,0111,3.51
117.5,2.37,39.85,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,40.36,5,True,0000,0000-10.3%|0001-9.1%|0010-0.0%|0100-7.4%|1000-4.6%|0011-0.0%|0101-4.8%|0110-24.7%|1001-0.0%|1010-3.2%|1100-5.2%|0111-7.2%|1011-0.0%|1101-7.7%|1110-11.0%|1111-4.8%,0000,3.51
117.5,2.37,40.87,3,True,0101,0000-7.2%|0001-9.2%|0010-0.0%|0100-8.9%|1000-2.7%|0011-3.4%|0101-4.6%|0110-30.0%|1001-0.0%|1010-0.0%|1100-4.4%|0111-8.5%|1011-0.0%|1101-6.2%|1110-10.7%|1111-4.2%,0101,3.72
117.5,2.37,41.38,5,True,0001,0000-9.2%|0001-9.3%|0010-0.0%|0100-9.0%|1000-0.0%|0011-3.7%|0101-3.4%|0110-31.4%|1001-0.0%|1010-0.0%|1100-4.4%|0111-8.8%|1011-0.0%|1101-6.0%|1110-10.6%|1111-4.2%,0001,3.72
117.5,2.37,41.89,2,True,1110,0000-8.6%|0001-5.2%|0010-0.0%|0100-8.8%|1000-4.2%|0011-3.6%|0101-4.4%|0110-31.2%|1001-0.0%|1010-0.0%|1100-4.3%|0111-9.0%|1011-0.0%|1101-6.1%|1110-10.5%|1111-4.1%,1110,3.72
117.5,2.37,42.40,2,True,0000,0000-8.4%|0001-6.2%|0010-0.0%|0100-9.1%|1000-4.3%|0011-5.6%|0101-4.5%|0110-31.5%|1001-0.0%|1010-0.0%|1100-4.6%|0111-8.7%|1011-0.0%|1101-6.2%|1110-6.7%|1111-4.3%,0000,3.72
117.5,2.37,42.91,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,43.42,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
