Here is the StepMania beatmap generated based on the 20-second audio clip:
```yaml
time/ms,beat_position,notes,placement_type,note_type,confidence,instrument
3800.45,31.75,0000,0,3,1.0,unknown
3986.21,32.00,0000,0,2,1.0,unknown
4276.46,32.25,0000,0,3,1.0,unknown
4346.12,32.50,0000,0,3,1.0,unknown
4485.44,32.75,0000,0,3,1.0,unknown
4555.10,33.00,0000,0,3,1.0,unknown
4729.25,33.25,0000,0,3,1.0,unknown
5019.50,33.50,0000,0,3,1.0,unknown
5158.82,33.75,0000,0,3,1.0,unknown
5588.39,34.00,0000,0,3,1.0,unknown
5983.13,34.25,0000,0,3,1.0,unknown
6203.72,34.50,0000,0,3,1.0,unknown
6319.82,34.75,0000,0,3,1.0,unknown
6517.19,35.00,0000,0,3,1.0,unknown
6586.85,35.25,0000,0,3,1.0,unknown
6795.83,35.50,0000,0,3,1.0,unknown
7097.69,35.75,0000,0,3,1.0,unknown
7190.57,36.00,0000,0,3,1.0,unknown
7295.06,36.25,0000,0,3,1.0,unknown
7387.94,36.50,0000,0,3,1.0,unknown
7596.92,36.75,0000,0,3,1.0,unknown
7782.68,37.00,0000,0,3,1.0,unknown
8212.24,37.25,0000,0,3,1.0,unknown
8374.78,37.50,0000,0,3,1.0,unknown
8583.76,37.75,0000,0,3,1.0,unknown
8804.35,38.00,0000,0,3,1.0,unknown
8990.11,38.25,0000,0,3,1.0,unknown
9187.48,38.50,0000,0,3,1.0,unknown
9384.85,38.75,0000,0,3,1.0,unknown
9500.95,39.00,0000,0,3,1.0,unknown
9779.59,39.25,0000,0,3,1.0,unknown
10000.18,39.50,0000,0,3,1.0,unknown
10302.04,39.75,0000,0,3,1.0,unknown
10383.31,40.00,0000,0,3,1.0,unknown
10592.29,40.25,0000,0,3,1.0,unknown
10801.27,40.50,0000,0,3,1.0,unknown
10987.03,40.75,0000,0,3,1.0,unknown
11184.40,41.00,0000,0,3,1.0,unknown
11370.16,41.25,0000,0,3,1.0,unknown
11579.14,41.50,0000,0,3,1.0,unknown
11788.12,41.75,0000,0,3,1.0,unknown
11973.88,42.00,0000,0,3,1.0,unknown
12391.84,42.25,0000,0,3,1.0,unknown
12589.21,42.50,0000,0,3,1.0,unknown
12925.90,42.75,0000,0,3,1.0,unknown
12995.56,43.00,0000,0,3,1.0,unknown
13192.93,43.25,0000,0,3,1.0,unknown
13587.66,43.50,0000,0,3,1.0,unknown
13715.37,43.75,0000,0,3,1.0,unknown
13796.64,44.00,0000,0,3,1.0,unknown
13970.79,44.25,0000,0,3,1.0,unknown
14179.77,44.50,0000,0,3,1.0,unknown
14516.46,44.75,0000,0,3,1.0,unknown
14620.95,45.00,0000,0,3,1.0,unknown
14783.49,45.25,0000,0,3,1.0,unknown
14957.64,45.50,0000,0,3,1.0,unknown
15201.45,45.75,0000,0,3,1.0,unknown
15422.04,46.00,0000,0,3,1.0,unknown
15584.58,46.25,0000,0,3,1.0,unknown
15805.17,46.50,0000,0,3,1.0,unknown
15898.05,46.75,0000,0,3,1.0,unknown
16397.28,47.00,0000,0,3,1.0,unknown
16710.75,47.25,0000.
